sensor,a,b,c,K,g,S,name,sensor_desc,...10
4.17,240.41563303180737,-0.389272317,-0.004894685,-213.1137414,23.84526714369517,1371.3690004283058,NA,NA,NA
4.18,100.06577795413212,-0.847251998,-0.01146305,-71.96659349,29.693456935991914,889.9358627473935,NA,NA,NA
4.19,106.31379469622908,-0.847452195,-0.01491126,-67.44737747,30.558478832512343,896.2355757533948,NA,NA,NA
4.20,101.1341939584831,-0.98796122,-0.015467741,-62.03872459,23.12190563964617,1175.6621488095623,NA,NA,NA
4.21,137.74820397082354,-0.696298844,-0.012346348,-96.8393432,31.1199053,940.7027300988922,NA,NA,NA
4.22,86.64682608523438,-0.968665027,-0.013174098,-58.36665947,30.92146133163198,798.2645095098945,NA,NA,NA
4.23,94.66917528487123,-0.899525873,-0.013966298,-62.18733029,30.961153156081785,826.5859576043274,NA,NA,NA
4.24,92.63487138201486,-1.013813279,-0.013687588,-60.77487023,21.698049721962924,1166.8527408114423,NA,NA,NA
4.25,149.33142430658668,-0.639902559,-0.0103413,-112.7754502,33.811396383932355,876.4815016,NA,NA,NA
4.26,157.28143085393333,-0.568057105,-0.008781643,-124.6965788,28.61330091606781,1061.4915004242218,NA,NA,NA
4.27,90.69489969881734,-0.881819317,-0.013081717,-61.70657425,33.201548766420174,752.8421295,NA,NA,NA
4.28,90.26964988798507,-0.957138043,-0.013808216,-59.48053854,30.939898922734784,838.6940241542767,NA,NA,NA
4.29,216.33880398859284,-0.399609934,-0.004942876,-192.1299909,31.66035205665721,1078.316876219031,NA,NA,NA
4.30,96.71111476406773,-0.876007521,-0.013630342,-64.71569819,36.36691582,709.2730639179897,NA,NA,NA
4.32,74.60553785,-1.017615241,-0.01477182,-47.2940768,32.77088178786173,722.6752089,NA,NA,NA
4.1,62.71953744,-0.911823365,-0.010480611,-52.14099823,20.42828307,1121.832547,4.1,NA,NA
4.2,47.6914303,-1.118727186,-0.010508841,-38.94458936,16.62202823,994.4286775,4.2,NA,NA
4.3,41.83002194,-1.145931013,-0.010990188,-33.79617697,16.38886715,966.851784,4.3,NA,NA
4.4,47.73085835,-1.095314437,-0.01022784,-39.25524152,15.71069914,1036.053899,4.4,NA,NA
4.5,60.96733008,-0.905300293,-0.009729454,-51.35358524,20.03523167,1110.34444,4.5,NA,NA
4.6,44.05855852,-1.105424202,-0.010024635,-36.31927871,18.270329919999998,973.2883973,4.6,NA,NA
4.7,86.5464149,-0.796058109,-0.009516679,-73.63128792,20.71543754,1215.376348,4.7,NA,NA
4.8,43.39299198,-1.149506766,-0.009801532,-35.77953679,16.90992573,967.245705,4.8,NA,NA
4.9,107.8986019,-0.671918924,-0.008868798,-93.32189754,22.73510234,1248.173347,4.9,NA,NA
4.10,40.84682851,-1.164901315,-0.00970509,-33.6154166,17.59839132,918.2990501,4.1,NA,NA
4.11,48.05594405,-1.102870971,-0.008969137,-40.26513901,17.48835507,1000.91134,4.11,NA,NA
4.12,42.49495909,-1.174330015,-0.008750856,-35.47696962,17.92186778,925.4082841,4.12,NA,NA
4.13,112.0930284,-0.689907028,-0.008595327,-97.31424018,22.0767013,1300.707809,4.13,NA,NA
4.14,50.09967732,-1.17942843,-0.009023096,-41.98416711,18.53814015,1002.49006,4.14,NA,NA
4.15,46.43291705,-1.165830482,-0.008986801,-38.93381531,18.66056493,958.8772741,4.15,NA,NA
4.16,47.51725394,-1.14735604,-0.008780763,-39.80085346,18.12403523,948.5865754,4.16,NA,NA
N4,40.41569932,-1.18737994,0.046031058,-22.25053079,14.88294695,376.248108,NA,NA,NA
N7,43.8720614,-1.18691423,0.036730228,-21.89285771,11.89265649,347.1503841,NA,NA,NA
42,27.23566757,-1.100116972,0.106228165,-38.233209,24.68852206,88.22021831,NA,NA,NA
43,34.68181774,-0.915152927,0.085804423,-50.72445141,27.26600022,17.82961539,NA,NA,NA
44,23.88513265,-1.106289022,0.119179637,-35.74975749,24.04524748,115.4711452,NA,NA,NA
45,30.09115837,-1.087751293,0.093803877,-39.05975032,24.57579284,109.1057359,NA,NA,NA
N1,36.89507194,-0.989983897,0.087729679,-50.51327858,23.88374695,160.6451069,NA,NA,NA
N2,33.60645062,-0.986127015,0.094364971,-48.08021406,23.54391144,129.7986986,NA,NA,NA
N3,19.15854139,-1.144116097,0.163202751,-31.78009965,26.20175034,67.49982374,NA,NA,NA
N5,36.2692964,-1.020536391,0.091481081,-52.81938454,23.99836018,135.2420552,NA,NA,NA
N6,36.99773027,-1.040263792,0.084524108,-51.00417725,26.78756047,142.2936492,NA,NA,NA
FR1,9.264760441,-2.419596353,0.004490209,-7.093161558,2.647558174,190.4325025,NA,NA,NA
FR2,10.53290298,-2.331837718,0.010755751,-9.159328939,3.493464827,182.5594633,NA,NA,NA
FR3,18.66347513,-2.218046608,0.001746813,-16.01175114,3.556204774,198.5853456,NA,NA,NA
FR4,8.976339014,-2.356985273,0.013242124,-7.857128599,2.957741085,177.4266,NA,NA,NA
