datetime,RH%,tempC,CH4smV,K33_RH,K33_Temp,K33_CO2,SampleNumber,PumpCycle,pred_CH4,station,sensor
2021-09-28T03:11:35Z,73.3,19.8,493.16,44.24,28.45,387,1,1,0.7860828478533577,1,1
2021-09-28T03:11:37Z,73.4,18,493.16,44.24,28.45,387,2,1,2.1487156541315464,1,1
2021-09-28T03:11:39Z,73.3,17.9,493.16,44.24,28.45,387,3,1,2.243139602517516,1,1
2021-09-28T03:11:41Z,73.3,17.9,493.16,44.24,28.45,387,4,1,2.243139602517516,1,1
2021-09-28T03:11:43Z,73.3,17.9,493.16,44.24,28.45,387,5,1,2.243139602517516,1,1
2021-09-28T03:11:45Z,73.3,17.9,493.16,44.24,28.45,387,6,1,2.243139602517516,1,1
2021-09-28T03:11:47Z,73.3,17.9,493.16,44.24,28.45,387,7,1,2.243139602517516,1,1
2021-09-28T03:11:49Z,73.4,17.9,493.16,44.24,28.45,387,8,1,2.225545774746003,1,1
2021-09-28T03:11:51Z,73.4,17.9,493.16,44.17,28.47,387,9,1,2.225545774746003,1,1
2021-09-28T03:11:53Z,73.5,17.9,502.93,44.17,28.47,387,10,1,3.3280816844546877,1,1
2021-09-28T03:11:55Z,73.6,17.9,502.93,44.17,28.47,387,11,1,3.3098316712234848,1,1
2021-09-28T03:11:57Z,73.7,17.9,502.93,44.17,28.47,387,12,1,3.291603548208851,1,1
2021-09-28T03:11:59Z,73.8,17.9,502.93,44.17,28.47,387,13,1,3.27339727435497,1,1
2021-09-28T03:12:01Z,73.9,17.9,498.05,44.17,28.47,387,14,1,2.6941116716740297,1,1
2021-09-28T03:12:03Z,74.1,17.9,498.05,44.17,28.47,387,15,1,2.6585056892463363,1,1
2021-09-28T03:12:05Z,74.2,17.9,498.05,44.17,28.47,387,16,1,2.6407346217866987,1,1
2021-09-28T03:12:07Z,74.3,17.9,498.05,44.17,28.47,387,17,1,2.6229847837865528,1,1
2021-09-28T03:12:09Z,74.5,17.9,498.05,44.17,28.47,387,18,1,2.5875486376402,1,1
2021-09-28T03:12:11Z,74.6,17.9,498.05,54.66,22.38,290,19,1,2.569862250483034,1,1
2021-09-28T03:12:13Z,74.8,17.9,502.93,54.66,22.38,290,20,1,3.0925272817259426,1,1
2021-09-28T03:12:15Z,74.9,17.9,502.93,54.66,22.38,290,21,1,3.0745586686293933,1,1
2021-09-28T03:12:17Z,75,17.9,502.93,54.66,22.38,290,22,1,3.056611420086373,1,1
2021-09-28T03:12:19Z,75.2,17.9,502.93,54.66,22.38,290,23,1,3.0207808578731594,1,1
2021-09-28T03:12:21Z,75.3,17.9,502.93,54.66,22.38,290,24,1,3.002897465059551,1,1
2021-09-28T03:12:23Z,75.4,17.9,502.93,54.66,22.38,290,25,1,2.9850352785120435,1,1
2021-09-28T03:12:25Z,75.5,17.9,498.05,54.66,22.38,290,26,1,2.411628290823444,1,1
2021-09-28T03:12:27Z,75.6,17.9,498.05,54.66,22.38,290,27,1,2.394150863382343,1,1
2021-09-28T03:12:29Z,75.7,17.9,498.05,54.66,22.38,290,28,1,2.3766941192534645,1,1
2021-09-28T03:12:31Z,75.9,17.9,498.05,55.51,22.46,291,29,1,2.3418425279228288,1,1
2021-09-28T03:12:33Z,76,17.9,507.81,55.51,22.46,291,30,1,3.438123003438875,1,1
2021-09-28T03:12:35Z,76.1,17.9,507.81,55.51,22.46,291,31,1,3.4200640562273037,1,1
2021-09-28T03:12:37Z,76.2,17.9,502.93,55.51,22.46,291,32,1,2.842896513712475,1,1
2021-09-28T03:12:39Z,76.3,17.9,502.93,55.51,22.46,291,33,1,2.825223425859903,1,1
2021-09-28T03:12:41Z,76.4,17.9,502.93,55.51,22.46,291,34,1,2.8075711554664835,1,1
2021-09-28T03:12:43Z,76.4,17.9,502.93,55.51,22.46,291,35,1,2.8075711554664835,1,1
2021-09-28T03:12:45Z,76.5,17.9,498.05,55.51,22.46,291,36,1,2.2377801924191374,1,1
2021-09-28T03:12:47Z,76.6,17.9,502.93,55.51,22.46,291,37,1,2.7723289137680993,1,1
2021-09-28T03:12:49Z,76.7,17.9,502.93,55.51,22.46,291,38,1,2.754738866058304,1,1
2021-09-28T03:12:51Z,76.8,17.9,502.93,55.98,22.59,296,39,1,2.737169482997338,1,1
2021-09-28T03:12:53Z,76.9,17.9,507.81,55.98,22.59,296,40,1,3.2763560020081854,1,1
2021-09-28T03:12:55Z,76.9,17.9,507.81,55.98,22.59,296,41,1,3.2763560020081854,1,1
2021-09-28T03:12:57Z,77,17.9,507.81,55.98,22.59,296,42,1,3.258487351489137,1,1
2021-09-28T03:12:59Z,77.1,17.9,507.81,55.98,22.59,296,43,1,3.240639651212227,1,1
2021-09-28T03:13:01Z,77.2,17.9,507.81,55.98,22.59,296,44,1,3.2228128627646697,1,1
2021-09-28T03:13:03Z,77.2,17.9,507.81,55.98,22.59,296,45,1,3.2228128627646697,1,1
2021-09-28T03:13:05Z,77.3,17.9,502.93,55.98,22.59,296,46,1,2.649631211987778,1,1
2021-09-28T03:13:07Z,77.4,17.9,502.93,55.98,22.59,296,47,1,2.6321850228773336,1,1
2021-09-28T03:13:09Z,77.5,17.9,502.93,55.98,22.59,296,48,1,2.614759234645625,1,1
2021-09-28T03:13:11Z,77.5,17.9,502.93,56.2,22.78,297,49,1,2.614759234645625,1,1
2021-09-28T03:13:13Z,77.6,17.9,507.81,56.2,22.78,297,50,1,3.1517140623544293,1,1
2021-09-28T03:13:15Z,77.7,17.9,507.81,56.2,22.78,297,51,1,3.133991260199963,1,1
2021-09-28T03:13:17Z,77.7,17.9,507.81,56.2,22.78,297,52,1,3.133991260199963,1,1
